Rank,Level,,,,,,Attempts,Tags,List Points
1,Poltergeist,,,,,,7822,"Felt like Top 5, Former Top 1",500
2,Future Funk,,,,,,7822,"Felt like Top 5, Former Top 1",439
3,Nine Circles,,,,,,10135,"1+ Year, Top 1, 10k+ Attempts, Felt like Top 5, Wave Carried?, Hell Level",387
4,Jawbreaker,,,,,,1302,Felt like Top 5,340
5,CosMOS,,,,,,12265,"Former Top 1, 10k+ Attempts",299
6,Electrodynamix V2,,,,,,1085,⠀⠀,263
7,🎖HeLL,,,,,,5005,"Hell Level, Felt like Top 5",232
8,SuperBigBuffRed,,,,,,3602,"Former Top 1, Felt like Top 5, Wave Carried?, Hell Level",205
9,Sakupen Egg,,,,,,1095,"Hell Level, Felt like Top 5",179
10,B,,,,,,1765,Felt like Top 5,158
11,PeurCide,,,,,,2073,Wave Carried?,138
12,SUPERHATE Challenges,,,,,,1085,Felt like Top 5,122
13,Congregation Shitty,,,,,,312,Felt like Top 5,108
14,SLH Promenade,,,,,,610,"Hell Level, Wave Carried?, Felt like Top 5",95
15,The Nightmare's Day	,,,,,,12944,"Hell Level, 10k+ Attempts",83
16,Faith to Fathom,,,,,,,Wave Carried?,74
17,Theory Of Everything 2,,,,,,,Felt like Top 5,65
18,Death Moon,,,,,,,Hell Level,57
19,Clubstep,,,,,,,Felt like Top 5,50
20,Problematic,,,,,,,Wave Carried?,44
21,Invisible Clubstep,,,,,,,⠀⠀⠀,39
22,Weird,,,,,,,Wave Carried?,35
23,Space Circles,,,,,,,Wave Carried?,30
24,Deadlocked,,,,,,,Wave Carried?,27
25,Angelief,,,,,,1747,Wave Carried?,23
26,Retro Circles,,,,,,,Wave Carried?,21
27,X,,,,,,,"Hell Level, Felt like Top 5",18
28,Shitty X,,,,,,,Felt like Top 5,17
29,Speed Racer,,,,,,,Felt like Top 5,14
30,Xstep v2,,,,,,,⠀⠀⠀⠀,12
31,Platinum Adventure,,,,,,,⠀⠀⠀⠀,11
32,Shiver,,,,,,,⠀⠀⠀⠀,9
33,The Lightning Road,,,,,,,⠀⠀⠀⠀,9
34,Demon Mixed					,,,,,,,⠀⠀⠀⠀,8
35,The Nightmare,,,,,,,⠀⠀⠀⠀,6
36,Ultra Paracosm,,,,,,,Wave Carried?,6
37,Follow Wave,,,,,,,Wave Carried?,5
